Kindle,com.amazon.kindle,#ffffffff,#ffff8433,#ff000000
Amazon Music,com.amazon.mp3,#ff000000,#ffff8433,#ffffffff
Amazon Shop,com.amazon.mShop.android,#ffffffff,#ffff8433,#ff000000
Amazon,com.amazon.vending,#ff000000,#ffff8433,#ffffffff
Amazon Venezia,com.amazon.venezia,#ff000000,#ffff8433,#ff616161
Chrome,com.android.chrome,#ffffffff,#ff616161,#ff616161
Evernote,com.evernote,#ff2DBE60,#ff757575,#ffffffff
Facebook,com.facebook.katana,#ff3b5998,#8b9dc3,#ffdfe3ee
Facebook Messenger,com.facebook.orca,#ffffffff,#ffb2b2b2,#ff0084ff
Chromecast,com.google.android.apps.chromecast.app,#ff03a9f4,#ffffffff,#ffffffff
Google Drive,com.google.android.apps.docs,#fffafafa,#ff757575,#ff555555
Google Docs,com.google.android.apps.docs.editors.docs,#fffafafa,#ff4285f4,#ff555555
Google Sheets,com.google.android.apps.docs.editors.sheets,#fffafafa,#ff0f9d58,#ff555555
Google Slides,com.google.android.apps.docs.editors.slides,#fffafafa,#fff4b400,#ff555555
Inbox,com.google.android.apps.inbox,#ff4285f4,#ff244986,#ffffffff
Maps,com.google.android.apps.maps,#99b3cc,#ede6de,#b4d39a
Google+,com.google.android.apps.plus,#ffdb4437,#ffd2d2d2,#ffffffff
Gmail,com.google.android.gm,#ffda4336,#ffffffff,#ffffffff
Google Search,com.google.android.googlequicksearchbox,#ffffffff,#ff616161,#ff212121
Keep,com.google.android.keep,#ffffbb00,#ffffffff,#ffffffff
Hangouts,com.google.android.talk,#ff0f9d58,#ffffffff,#ffffffff
Youtube,com.google.android.youtube,#ffe62117,#ff5c0d09,#ffffffff
GroupMe,com.groupme.android,#ff00aff0,#ff7fd7f8,#ffffffff
HBO go,com.HBO,#ff1a1a1c,#ff228dc5,#ffe5eaec
Instagram,com.instagram.android,#ff185483,#ff89abc4,#ffffffff
Netflix,com.netflix.mediaclient,#ff030303,#ffe50914,#ffffffff
Outlook com,com.outlook.Z7,#ff4668C5,#ffffffff,#ffffffff
Pandora,com.pandora.android,#ffffffff,#ff909fcc,#ff224099
Pinterest,com.pinterest,#ffffffff,#ffbd081c,#ff222222
Skype,com.skype.raider,#ff12A5F4,#ffffffff,#ffffffff
Snapchat,com.snapchat.android,#98000000,#ffffffff,#ffffffff
Walkman,com.sonyericsson.music,#ff4a2a71,#ffa595b8,#ffffffff
Spotify,com.spotify.music,#ff222326,#ff84bd00,#ffbdbdbe
Tinder,com.tinder,#ffffffff,#ffff684d,#ff999999
Twitter,com.twitter.android,#ff55acee,#ffffffff,#ffffffff
Comedy Central,com.vmn.android.comedycentral,#ff28292b,#ffdce631,#ffffffff
WhatsApp,com.whatsapp,#ff075e54,#ff00897b,#ffffffff
Yik Yak,com.yik.yak,#ff00dab0,#ff009074,#ffffffff
NovaKey,viviano.cantu.novakey,#ff616161,#fff5f5f5,#fff5f5f5
